Year,World Population,Yearly Change,Net Change,Density (P/Km²)
2020,7794798739,0.0105,81330639,52
2019,7713468100,0.0108,82377060,52
2018,7631091040,0.011,83232115,51
2017,7547858925,0.0112,83836876,51
2016,7464022049,0.0114,84224910,50
2015,7379797139,0.0116,84506374,50
2014,7295290765,0.0117,84708789,49
2013,7210581976,0.0119,84753917,48
2012,7125828059,0.012,84633758,48
2011,7041194301,0.0121,84370698,47
2010,6956823603,0.0122,84056510,47
2009,6872767093,0.0123,83678407,46
2008,6789088686,0.0124,83142076,46
2007,6705946610,0.0124,82428777,45
2006,6623517833,0.0125,81610806,44
2005,6541907027,0.0125,80747638,44
2004,6461159389,0.0125,79974275,43
2003,6381185114,0.0126,79411926,43
2002,6301773188,0.0127,79146582,42
2001,6222626606,0.0129,79132783,42
2000,6143493823,0.0131,79254768,41
1999,6064239055,0.0133,79445113,41
1998,5984793942,0.0135,79748154,40
1997,5905045788,0.0138,80153837,40
1996,5824891951,0.014,80678972,39
1995,5744212979,0.0143,81062552,39
1994,5663150427,0.0146,81552881,38
1993,5581597546,0.015,82677737,37
1992,5498919809,0.0156,84630365,37
1991,5414289444,0.0163,87058383,36
1990,5327231061,0.0171,89789503,36
1989,5237441558,0.0179,92015550,35
1988,5145426008,0.0184,92903861,35
1987,5052522147,0.0185,91954235,34
1986,4960567912,0.0184,89646172,33
1985,4870921740,0.0182,86910119,33
1984,4784011621,0.018,84442317,32
1983,4699569304,0.0178,82182762,32
1982,4617386542,0.0177,80389780,31
1981,4536996762,0.0177,78993248,30
1980,4458003514,0.0177,77497414,30
1979,4380506100,0.0176,75972599,29
1978,4304533501,0.0177,75027441,29
1977,4229506060,0.018,74839196,28
1976,4154666864,0.0184,75186258,28
1975,4079480606,0.0189,75686434,27
1974,4003794172,0.0194,76013934,27
1973,3927780238,0.0198,76129993,26
1972,3851650245,0.0201,75890628,26
1971,3775759617,0.0204,75322571,25
1970,3700437046,0.0206,74756419,25
1969,3625680627,0.0209,74081500,24
1968,3551599127,0.0209,72829165,24
1967,3478769962,0.0208,70847332,23
1966,3407922630,0.0205,68339033,23
1965,3339583597,0.02,65605259,22
1964,3273978338,0.0196,62977329,22
1963,3211001009,0.0192,60580214,22
1962,3150420795,0.0189,58577288,21
1961,3091843507,0.0187,56893759,21
1960,3034949748,0.0186,55373563,20
1959,2979576185,0.0184,53889480,20
1958,2925686705,0.0182,52380615,20
1957,2873306090,0.018,50862808,19
1956,2822443282,0.0178,49423346,19
1955,2773019936,0.0177,48173195,19
1954,2724846741,0.0176,47237781,18
1953,2677608960,0.0178,46747398,18
1952,2630861562,0.0181,46827301,18
1951,2584034261,0.0188,47603112,17
1927,2000000000,,,
1900,1600000000,,,
1850,1200000000,,,
1804,1000000000,,,
1760,770000000,,,
1700,610000000,,,
1600,500000000,,,
1500,450000000,,,
1400,350000000,,,
1200,360000000,,,
1100,320000000,,,
1000,275000000,,,
900,240000000,,,
800,220000000,,,
700,210000000,,,
600,200000000,,,
200,190000000,,,
-200,150000000,,,
-500,100000000,,,
-1000,50000000,,,
-2000,27000000,,,
-3000,14000000,,,
-4000,7000000,,,
-5000,5000000,,,
