Edition_ID,Season,Year,City,Country_Code,Competition_Start_Date,Competition_End_Date
1,Summer,1896,Athina,GRE,1896-04-06,1896-04-13
2,Summer,1900,Paris,FRA,1900-05-14,1900-10-28
3,Summer,1904,St. Louis,USA,1904-07-01,1904-11-23
5,Summer,1908,London,GBR,1908-04-27,1908-10-31
6,Summer,1912,Stockholm,SWE,1912-05-05,1912-07-27
7,Summer,1920,Antwerpen,BEL,1920-04-23,1920-09-12
8,Summer,1924,Paris,FRA,1924-05-04,1924-07-27
9,Summer,1928,Amsterdam,NED,1928-05-17,1928-08-12
10,Summer,1932,Los Angeles,USA,1932-07-30,1932-08-14
11,Summer,1936,Berlin,GER,1936-08-02,1936-08-16
12,Summer,1948,London,GBR,1948-07-26,1948-08-14
13,Summer,1952,Helsinki,FIN,1952-07-14,1952-08-03
14,Summer,1956,Melbourne,AUS,1956-11-22,1956-12-08
15,Summer,1960,Roma,ITA,1960-08-25,1960-09-11
16,Summer,1964,Tokyo,JPN,1964-10-11,1964-10-24
17,Summer,1968,Ciudad de México,MEX,1968-10-12,1968-10-27
18,Summer,1972,München,FRG,1972-08-26,1972-09-11
19,Summer,1976,Montréal,CAN,1976-07-18,1976-08-01
20,Summer,1980,Moskva,URS,1980-07-20,1980-08-03
21,Summer,1984,Los Angeles,USA,1984-07-06,1984-08-12
22,Summer,1988,Seoul,KOR,1988-09-17,1988-10-02
23,Summer,1992,Barcelona,ESP,1992-07-24,1992-08-09
24,Summer,1996,Atlanta,USA,1996-07-20,1996-08-04
25,Summer,2000,Sydney,AUS,2000-09-13,2000-10-01
26,Summer,2004,Athina,GRE,2004-08-11,2004-08-29
53,Summer,2008,Beijing,CHN,2008-08-06,2008-08-24
54,Summer,2012,London,GBR,2012-07-25,2012-08-12
59,Summer,2016,Rio de Janeiro,BRA,2016-08-03,2016-08-21
29,Winter,1924,Chamonix,FRA,1924-01-26,1924-02-04
30,Winter,1928,Sankt Moritz,SUI,1928-02-11,1928-02-19
31,Winter,1932,Lake Placid,USA,1932-02-04,1932-02-15
32,Winter,1936,Garmisch-Partenkirchen,GER,1936-02-06,1936-02-16
33,Winter,1948,Sankt Moritz,SUI,1948-01-30,1948-02-08
34,Winter,1952,Oslo,NOR,1952-02-14,1952-02-25
35,Winter,1956,Cortina d'Ampezzo,ITA,1956-01-26,1956-02-05
36,Winter,1960,Squaw Valley,USA,1960-02-19,1960-02-28
37,Winter,1964,Innsbruck,AUT,1964-01-27,1964-02-09
38,Winter,1968,Grenoble,FRA,1968-02-04,1968-02-18
39,Winter,1972,Sapporo,JPN,1972-02-03,1972-02-13
40,Winter,1976,Innsbruck,AUT,1976-02-03,1976-02-15
41,Winter,1980,Lake Placid,USA,1980-02-12,1980-02-24
42,Winter,1984,Sarajevo,YUG,1984-02-07,1984-02-19
43,Winter,1988,Calgary,CAN,1988-02-13,1988-02-28
44,Winter,1992,Albertville,FRA,1992-02-08,1992-02-23
45,Winter,1994,Lillehammer,NOR,1994-02-12,1994-02-27
46,Winter,1998,Nagano,JPN,1998-02-07,1998-02-22
47,Winter,2002,Salt Lake City,USA,2002-02-09,2002-02-24
49,Winter,2006,Torino,ITA,2006-02-11,2006-02-26
57,Winter,2010,Vancouver,CAN,2010-02-12,2010-02-28
58,Winter,2014,Sochi,RUS,2014-02-06,2014-02-23
60,Winter,2018,PyeongChang,KOR,2018-02-08,2018-02-25
62,Winter,2022,Beijing,CHN,2022-02-02,2022-02-20
