Year,Norway,Finland,Great Britain,United States,Austria,France,Switzerland,Sweden,Belgium,Canada,Czechoslovakia,Hungary,Germany,Soviet Union,Netherlands,East Germany,Russian Federation
1924,17,11,4,4,3,3,3,2,1,1,0,0,0,0,0,0,0
1928,32,15,0,8,7,4,4,7,2,2,1,0,1,0,0,0,0
1932,42,18,0,20,9,5,5,10,0,9,0,1,3,0,0,0,0
1936,57,24,7,24,13,6,8,17,0,10,0,2,9,0,0,0,0
1948,67,30,8,32,21,11,18,27,4,13,2,3,0,0,0,0,0
1952,83,39,9,43,29,12,20,31,0,15,0,4,16,0,3,0,0
1956,87,46,0,50,40,0,26,41,0,18,0,5,18,16,0,0,0
1960,93,54,0,60,46,15,28,48,0,22,3,0,26,37,5,0,0
1964,108,64,10,67,58,22,0,55,0,25,4,0,35,62,7,0,0
1968,122,69,0,74,69,31,34,63,0,28,8,0,0,75,16,5,0
1972,134,74,0,82,74,34,44,67,0,29,11,0,0,91,25,19,0
1976,141,81,11,92,80,35,49,69,0,32,12,0,0,118,31,38,0
1980,151,90,12,104,87,36,54,73,0,34,13,6,0,140,35,61,0
1984,160,103,13,112,88,39,59,81,0,38,19,0,0,165,0,85,0
1988,165,110,0,118,98,41,74,87,0,43,22,0,0,194,42,110,0
1992,185,117,0,129,119,50,77,91,0,50,25,0,61,0,46,0,0
1994,211,123,15,142,128,55,86,94,0,63,0,0,85,0,50,0,23
1998,236,135,16,155,145,63,93,97,5,78,0,0,114,0,61,0,41
2002,261,142,17,186,161,74,103,104,0,95,0,0,150,0,69,0,54
2006,280,151,0,211,184,83,115,118,0,116,0,0,179,0,78,0,76
2010,303,156,18,248,200,94,124,129,0,142,0,0,209,0,86,0,91
2014,329,161,23,276,217,109,135,144,0,167,0,0,228,0,110,0,120
2018,368,167,28,299,231,124,150,158,6,196,0,7,259,0,130,0,137
2022,405,175,30,324,249,138,165,176,8,222,0,10,285,0,147,0,169
